company_fyi,ticker,ticker_edgar,ticker_yfinance,yf_name,yf_exchange,cik,announcement_date,edgar_8k_date,layoff_count,layoff_pct,industry,country,source_url,match_src,confidence,mkt_cap_usd,currency,ticker_valid
Dell,DELL,,DELL,Dell Technologies Inc.,NYQ,,2024-08-05,,,,Hardware,United States,https://siliconangle.com/2024/08/05/dell-lays-off-thousands-workers-sales-reorganization/,yfinance_only,MEDIUM,112246368700.06909,USD,True
Intel,INTC,INTC,INTC,Intel Corporation,NMS,50863.0,2024-08-01,2024-08-01,15000.0,15%,Hardware,United States,https://www.intel.com/content/www/us/en/newsroom/news/actions-accelerate-our-progress.html#gs.cgq6eg,EDGAR_exact,HIGH,241159115121.67712,USD,True
Avaya,,,,,,1418100.0,2024-08-01,2023-01-13,180.0,3%,Other,United States,https://www.uctoday.com/unified-communications/avaya-layoffs-theyve-talked-the-talk-now-they-need-to-walk-the-walk/,EDGAR_exact,NONE,,,
Delivery Hero,DHER.DE,,DHER.DE,Delivery Hero SE              N,GER,,2024-07-31,,200.0,,Food,Germany,https://www.bloomberg.com/news/articles/2024-07-31/delivery-hero-to-combine-european-and-asian-businesses-cut-jobs,yfinance_only,MEDIUM,4801861104.0,EUR,True
Match Group,MTCH,,MTCH,"Match Group, Inc.",NMS,,2024-07-31,,,6%,Consumer,United States,https://techcrunch.com/2024/07/31/match-group-ends-live-streaming-service-layoffs/,yfinance_only,MEDIUM,7351225572.514191,USD,True
NerdWallet,NRDS,NRDS,NRDS,"NerdWallet, Inc.",NGM,1625278.0,2024-07-30,2024-07-31,,15%,Finance,United States,https://www.marketwatch.com/amp/story/nerdwallet-to-cut-15-of-its-workforce-aa1db7c7,EDGAR_exact,HIGH,752581968.5878963,USD,True
SolarEdge,SEDG,SEDG,SEDG,"SolarEdge Technologies, Inc.",NMS,1419612.0,2024-07-15,2025-01-06,400.0,,Energy,Israel,https://www.reuters.com/business/energy/solaredge-technologies-lay-off-400-employees-2024-07-15/,EDGAR_exact,HIGH,3131199449.691845,USD,True
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2024-07-15,2024-02-28,300.0,,Sales,United States,https://www.bloomberg.com/news/articles/2024-07-15/salesforce-cuts-about-300-jobs-in-latest-sign-of-tech-austerity,EDGAR_exact,HIGH,174506885147.09473,USD,True
Spotify,SPOT,,SPOT,Spotify Technology S.A.,NYQ,,2024-07-15,,40.0,,Media,Sweden,https://adage.com/article/digital-marketing-ad-tech-news/spotify-focus-smaller-clients-programmatic-ad-tech-includes-40-layoffs/2569771,yfinance_only,MEDIUM,96766760633.96973,USD,True
Intuit,INTU,INTU,ISRG,"Intuitive Surgical, Inc.",NMS,896878.0,2024-07-10,2024-07-10,1800.0,10%,Finance,United States,https://www.bloomberg.com/news/articles/2024-07-10/intuit-to-cull-10-of-employees-in-latest-round-of-tech-layoffs,EDGAR_exact,LOW_CONFLICT,118508579813.22986,USD,True
UIPath,PATH,PATH,PATH,"UiPath, Inc.",NYQ,1734722.0,2024-07-09,2024-07-09,420.0,10%,Other,United States,https://www.cnbc.com/2024/07/09/uipath-layoffs-company-to-cut-10percent-of-workforce.html,EDGAR_exact,HIGH,5892941762.468979,USD,True
OpenText,,,,,,,2024-07-03,,1200.0,2%,Data,Canada,https://www.marketwatch.com/story/open-text-to-cut-1-200-jobs-as-part-of-cost-saving-plan-cef1f9a0,yfinance_only,NONE,,,
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2024-07-03,,,,Other,United States,https://www.geekwire.com/2024/microsoft-lays-off-employees-in-new-round-of-cuts/,yfinance_only,MEDIUM,2745297298505.8135,USD,True
Cint,CINT,,CINT,CI&T Inc,NYQ,,2024-07-01,,,,Data,Sweden,https://investors.cint.com/en/press/organizational-changes-cint-group-2248206,yfinance_only,MEDIUM,648064226.7376804,USD,True
Planet,PL,,PL,Planet Labs PBC,NYQ,,2024-06-26,,180.0,17%,Aerospace,United States,https://spacenews.com/planet-lays-off-17-of-workforce/,yfinance_only,MEDIUM,10630236302.2611,USD,True
eBay,EBAY,,EBAY,eBay Inc.,NMS,,2024-06-26,,,,Retail,Israel,https://www.calcalistech.com/ctechnews/article/rysmrkfua,yfinance_only,MEDIUM,42094758758.54492,USD,True
Perion,PERI,,PERI,Perion Network Ltd,NMS,,2024-06-25,,35.0,5%,Marketing,Israel,https://en.globes.co.il/en/article-perion-network-lays-off-20-transfers-us-activities-to-israel-1001420801,yfinance_only,MEDIUM,405594357.3753586,USD,True
Ginkgo Bioworks,DNA,,DNA,"Ginkgo Bioworks Holdings, Inc.",NYQ,1830214.0,2024-06-24,2024-11-12,,,Healthcare,United States,https://www.biospace.com/article/biospace-layoff-tracker-2023-athenex-shutters-facility-cuts-staff/,EDGAR_exact,MEDIUM,420466347.71777344,USD,True
Ginkgo Bioworks,DNA,,DNA,"Ginkgo Bioworks Holdings, Inc.",NYQ,1830214.0,2024-06-20,2024-11-12,400.0,35%,Healthcare,United States,https://www.bostonglobe.com/2024/06/25/business/gingko-jason-kelly-mit-securities-and-exchange-commission-covid-biosecurity/,EDGAR_exact,MEDIUM,420466347.71777344,USD,True
Wex,WEX,,WEX,WEX Inc.,NYQ,,2024-06-18,,375.0,5%,Finance,United States,https://www.pressherald.com/2024/06/18/wex-is-laying-off-375-employees-worldwide/,yfinance_only,MEDIUM,5158944543.421539,USD,True
PayPal,PYPL,,PYPL,"PayPal Holdings, Inc.",NMS,,2024-06-18,,85.0,,Finance,Ireland,https://www.irishexaminer.com/business/companies/arid-41418832.html,yfinance_only,MEDIUM,41758147661.77411,USD,True
Fisker,,,,,,,2024-06-18,,,100%,Transportation,United States,https://www.wsj.com/business/autos/electric-vehicle-startup-fisker-files-for-bankruptcy-0a3eb7d6,yfinance_only,NONE,,,
Chegg,CHGG,CHGG,CHGG,"Chegg, Inc.",NYQ,1364954.0,2024-06-17,2024-11-12,441.0,23%,Education,United States,https://www.businesswire.com/news/home/20240617323391/en/Chegg-Announces-Restructuring-Plan-and-New-Vision-for-Growth,EDGAR_exact,HIGH,80495062.87858629,USD,True
Satellogic,SATL,,SATL,Satellogic Inc.,NCM,,2024-06-14,,70.0,30%,Aerospace,Uruguay,https://spacenews.com/satellogic-announces-new-round-of-layoffs/,yfinance_only,MEDIUM,816864834.147254,USD,True
Medtronic,MDT,,MDT,Medtronic plc.,NYQ,,2024-06-13,,,,Healthcare,United States,https://www.massdevice.com/medtronic-layoffs-global-confirmed/,yfinance_only,MEDIUM,110491136867.35522,USD,True
Pagaya,PGY,,PGY,Pagaya Technologies Ltd.,NCM,,2024-06-05,,100.0,20%,Finance,Israel,https://www.calcalistech.com/ctechnews/article/h19floaec,yfinance_only,MEDIUM,965559285.4593315,USD,True
Yext,YEXT,,YEXT,"Yext, Inc.",NYQ,,2024-06-05,,,12%,Marketing,United States,https://www.investing.com/news/economy-news/yext-announces-12-workforce-reduction-to-boost-profitability-93CH-3471417,yfinance_only,MEDIUM,484746361.27417564,USD,True
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2024-06-03,,1000.0,,Other,United States,https://www.theverge.com/2024/6/3/24170902/microsoft-hololens-2-mixed-reality-azure-layoffs,yfinance_only,MEDIUM,2745297298505.8135,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2024-05-31,,100.0,,Consumer,United States,https://www.businessinsider.com/google-cloud-layoffs-job-cuts-employees-globally-2024-5,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Fisker,,,,,,,2024-05-29,,,,Transportation,United States,https://techcrunch.com/2024/05/29/fisker-layoffs-workers-restructuring-bankruptcy/,yfinance_only,NONE,,,
Funding Circle,FCHL.XC,,FCHL.XC,Funding Circle Holdings PLC,CXE,,2024-05-29,,,,Finance,United Kingdom,https://markets.ft.com/data/announce/detail?dockey=600-202405290435DGAP____UKPR_____UK_Regulatory_1913105-1,yfinance_only,MEDIUM,36531208084.350296,GBp,True
Lucid Motors,,,,,,,2024-05-24,,400.0,6%,Transportation,United States,https://electrek.co/2024/05/24/lucid-lcid-cuts-us-workforce-by-6-ahead-gravity-ev-launch/,yfinance_only,NONE,,,
Satellogic,SATL,,SATL,Satellogic Inc.,NCM,,2024-05-24,,34.0,13%,Aerospace,Uruguay,https://spacenews.com/satellogic-lays-off-13-of-workforce/,yfinance_only,MEDIUM,816864834.147254,USD,True
Cue Health,HLTHQ,,HLTHQ,Cue Health Inc.,PNK,,2024-05-22,,180.0,100%,Healthcare,United States,https://www.fiercebiotech.com/medtech/home-covid-testmaker-cue-health-shut-down-operations-lay-staff-report,yfinance_only,MEDIUM,159.09181359833178,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2024-05-10,,120.0,,Transportation,United States,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,yfinance_only,MEDIUM,18540386926.91996,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2024-05-10,,57.0,,Consumer,United States,https://www.sfchronicle.com/tech/article/tech-layoffs-google-rivian-19451076.php,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Vacasa,,,,,,,2024-05-09,,800.0,13%,Travel,United States,https://skift.com/2024/05/09/vacasa-told-employees-about-layoffs-restructuring-and-leadership-changes/,yfinance_only,NONE,,,
Kinaxis,KXS.TO,,KXS.TO,KINAXIS INC,TOR,,2024-05-08,,,6%,Other,Canada,https://investors.kinaxis.com/news-releases/news-release-details/2024/Kinaxis-Inc.-Reports-First-Quarter-2024-Results/default.aspx,yfinance_only,MEDIUM,3883058234.7665405,CAD,True
Enovix,ENVX,ENVX,ENVX,Enovix Corporation,NMS,1828318.0,2024-05-06,2023-10-03,170.0,33%,Energy,United States,https://www.theinformation.com/articles/battery-developer-enovix-lays-off-roughly-one-third-of-staff,EDGAR_exact,HIGH,1079605431.1644983,USD,True
Cue Health,HLTHQ,,HLTHQ,Cue Health Inc.,PNK,,2024-05-03,,230.0,49%,Healthcare,United States,https://www.beckershospitalreview.com/digital-health/health-tech-company-lays-off-49-of-workforce.html,yfinance_only,MEDIUM,159.09181359833178,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2024-05-03,,150.0,1%,Transportation,United States,https://abc7.com/rivian-jobs-irvine-careers-electric-vehicle/14761190/,yfinance_only,MEDIUM,18540386926.91996,USD,True
Luminar,LAZRQ,,LAZRQ,"Luminar Technologies, Inc.",PNK,,2024-05-03,,140.0,20%,Transportation,United States,https://techcrunch.com/2024/05/03/luminar-layoffs-reduction-restructuring-lidar/,yfinance_only,MEDIUM,1920621.0166946985,USD,True
Sprinklr,CXM,CXM,CXM,"Sprinklr, Inc.",NYQ,1569345.0,2024-05-03,2025-02-06,116.0,3%,Support,United States,https://techcrunch.com/2024/05/03/sprinklr-lays-off-more-than-100-employees/,EDGAR_exact,HIGH,1488208787.8467107,USD,True
Bakkt,BKKT,,BKKT,"Bakkt, Inc.",NYQ,1820302.0,2024-05-03,2024-05-03,28.0,,Crypto,United States,https://seekingalpha.com/news/4099966-crypto-platform-bakkt-to-lay-off-28-employees,EDGAR_exact,MEDIUM,221269568.04489136,USD,True
Peloton,PTON,,PTON,"Peloton Interactive, Inc.",NMS,,2024-05-02,,400.0,15%,Fitness,United States,https://www.cnbc.com/2024/05/02/peloton-ceo-barry-mccarthy-steps-down-15percent-of-staff-laid-off.html,yfinance_only,MEDIUM,1829603168.1556034,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2024-05-01,,200.0,,Consumer,United States,https://www.cnbc.com/2024/05/01/google-cuts-hundreds-of-core-workers-moves-jobs-to-india-mexico.html,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Tesla,TSLA,,TSLA,"Tesla, Inc.",NMS,,2024-04-30,,500.0,,Transportation,United States,https://www.theverge.com/2024/4/30/24145621/tesla-layoff-supercharger-ev-charging-nacs-elon-musk,yfinance_only,MEDIUM,1430652254864.6836,USD,True
Akili Interactive,,,,,,,2024-04-30,,,46%,Healthcare,United States,https://investors.akiliinteractive.com/news/news-details/2024/Akili-Announces-Amended-Agreement-with-Shionogi-Shift-in-Corporate-Strategy-and-Release-Date-for-First-Quarter-2024-Financial-Results/default.aspx,yfinance_only,NONE,,,
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2024-04-30,,,,Consumer,United States,https://techcrunch.com/2024/04/29/google-lays-off-staff-from-flutter-dart-python-weeks-before-its-developer-conference/,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Fisker,,,,,,,2024-04-29,,,,Transportation,United States,https://techcrunch.com/2024/04/29/fisker-layoffs-staff-email-cuts-bankruptcy-sale/,yfinance_only,NONE,,,
Expedia,EXPE,,EXPE,"Expedia Group, Inc.",NMS,,2024-04-24,,,,Travel,United States,https://www.bizjournals.com/austin/news/2024/04/24/expedia-layoffs-austin-employees.html,yfinance_only,MEDIUM,27897514311.541946,USD,True
Google,GOOG,,GOOG,Alphabet Inc.,NMS,,2024-04-17,,,,Consumer,United States,https://www.reuters.com/technology/google-lays-off-employees-shifts-some-roles-abroad-amid-cost-cuts-2024-04-17/,yfinance_only,MEDIUM,3567405226165.7715,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2024-04-17,,,1%,Transportation,United States,https://www.reuters.com/business/autos-transportation/rivian-cuts-1-workforce-second-job-cut-this-year-2024-04-17/,yfinance_only,MEDIUM,18540386926.91996,USD,True
Take-Two,TTWO,,TTWO,"Take-Two Interactive Software, ",NMS,,2024-04-16,,579.0,5%,Consumer,United States,https://www.ign.com/articles/take-two-announces-layoffs-while-canceling-multiple-in-development-projects,yfinance_only,MEDIUM,36701774814.089355,USD,True
Tesla,TSLA,,TSLA,"Tesla, Inc.",NMS,,2024-04-15,,14000.0,10%,Transportation,United States,https://www.nytimes.com/2024/04/15/business/tesla-layoff-elon-musk.html,yfinance_only,MEDIUM,1430652254864.6836,USD,True
Criteo,CRTO,,CRTO,Criteo S.A.,NMS,,2024-04-12,,140.0,4%,Marketing,France,https://www.businessinsider.com/criteo-layoffs-global-staff-job-reductions-2024-4,yfinance_only,MEDIUM,942728924.420311,USD,True
Intel,INTC,INTC,INTC,Intel Corporation,NMS,50863.0,2024-04-09,2024-08-01,62.0,,Hardware,United States,https://www.crn.com/news/components-peripherals/2024/intel-layoffs-impact-62-jobs-at-california-hq,EDGAR_exact,HIGH,241159115121.67712,USD,True
Apple,AAPL,,AAPL,Apple Inc.,NMS,,2024-04-04,,614.0,,Hardware,United States,https://www.bloomberg.com/news/articles/2024-04-04/apple-cut-at-least-600-workers-when-car-screen-projects-stopped?embedded-checkout=true,yfinance_only,MEDIUM,3757230895147.217,USD,True
Lightspeed Commerce,LSPD.TO,,LSPD.TO,LIGHTSPEED COMMERCE INC,TOR,,2024-04-03,,280.0,,Retail,Canada,https://www.bnnbloomberg.ca/lightspeed-commerce-cutting-280-jobs-as-it-focuses-on-profitable-growth-1.2054620,yfinance_only,MEDIUM,1708023623.5462332,CAD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2024-04-03,,,,Retail,United States,https://www.geekwire.com/2024/amazon-web-services-cuts-hundreds-of-jobs-in-sales-training-and-physical-stores-technology/,yfinance_only,MEDIUM,2260452366220.8086,USD,True
GoPro,GPRO,GPRO,GPRO,"GoPro, Inc.",NMS,1500435.0,2024-03-26,2024-10-29,,4%,Consumer,United States,https://www.wsj.com/business/earnings/gopro-to-cut-total-workforce-by-4-reduce-office-space-208f369a?,EDGAR_exact,HIGH,117868611.67293388,USD,True
Dell,DELL,,DELL,Dell Technologies Inc.,NYQ,,2024-03-25,,6000.0,5%,Hardware,United States,https://siliconangle.com/2024/03/25/dell-reduces-global-workforce-around-6000-jobs/,yfinance_only,MEDIUM,112246368700.06909,USD,True
Singular Genomics,,,,,,,2024-03-19,,,20%,Healthcare,United States,https://www.genomeweb.com/business-news/singular-genomics-lay-20-percent-workforce-q4-revenues-41-percent,yfinance_only,NONE,,,
Ancestry,,,,,,,2024-03-14,,81.0,6%,Consumer,United States,https://endpts.com/ancestry-cut-6-of-workforce-as-genealogy-giant-struggles-with-subscription-revenue/,yfinance_only,NONE,,,
IBM,IBM,,IBM,International Business Machines,NYQ,,2024-03-12,,,,Hardware,United States,https://www.cnbc.com/2024/03/12/ibm-tells-employees-of-job-cuts-in-marketing-and-communications.html,yfinance_only,MEDIUM,228164781193.32056,USD,True
Meta,META,,META,"Meta Platforms, Inc.",NMS,,2024-03-06,,,,Consumer,United States,https://www.businessinsider.com/meta-facebook-messenger-hit-with-layoffs-2024-3?IR=T,yfinance_only,MEDIUM,1465194362007.3398,USD,True
Edgio,EGIO,EGIO,EGIO,"Edgio, Inc.",NGM,1391127.0,2024-03-04,2024-03-07,80.0,10%,Infrastructure,United States,https://investors.edg.io/node/13996/html,EDGAR_exact,HIGH,,,False
Fisker,,,,,,,2024-02-29,,,15%,Transportation,United States,https://techcrunch.com/2024/02/29/fisker-layoffs-cash-going-concern-dealerships/,yfinance_only,NONE,,,
Electronic Arts,EA,,EA,Electronic Arts Inc.,NMS,,2024-02-28,,670.0,5%,Consumer,United States,https://www.cnbc.com/2024/02/28/ea-layoffs-company-to-cut-5percent-of-workforce-or-about-670-employees.html,yfinance_only,MEDIUM,50946651350.768234,USD,True
Vacasa,,,,,,,2024-02-28,,320.0,5%,Travel,United States,https://www.oregonlive.com/business/2024/02/portland-based-vacasa-will-lay-off-another-320-new-year-is-off-to-a-difficult-start.html,yfinance_only,NONE,,,
Bumble,BMBL,BMBL,BMBL,Bumble Inc.,NMS,1830043.0,2024-02-27,2024-02-27,350.0,30%,Consumer,United States,https://www.cnbc.com/2024/02/27/bumble-layoffs-350-employees-or-about-37percent-of-workforce.html,EDGAR_exact,HIGH,586164701.7703247,USD,True
PropertyGuru,,,,,,,2024-02-27,,79.0,,Real Estate,Singapore,https://www.theedgesingapore.com/news/company-news/propertyguru-cuts-79-jobs-amid-organisational-changes,yfinance_only,NONE,,,
Apple,AAPL,,AAPL,Apple Inc.,NMS,,2024-02-27,,,,Transportation,United States,https://techcrunch.com/2024/02/27/apple-cancels-electric-car-project-titan/,yfinance_only,MEDIUM,3757230895147.217,USD,True
Expedia,EXPE,,EXPE,"Expedia Group, Inc.",NMS,,2024-02-26,,1500.0,8%,Travel,United States,https://www.geekwire.com/2024/expedia-group-cutbacks-will-impact-1500-roles-this-year-more-than-8-of-workforce/,yfinance_only,MEDIUM,27897514311.541946,USD,True
Affirm,AFRM,,AFRM,"Affirm Holdings, Inc.",NMS,,2024-02-21,,60.0,,Finance,United States,https://bnnbreaking.com/finance-nav/affirms-pittsburgh-layoffs-a-tale-of-corporate-strategy-and-employee-impact,yfinance_only,MEDIUM,15169859351.51191,USD,True
BuzzFeed,BZFD,,BZFD,"BuzzFeed, Inc.",NCM,1828972.0,2024-02-21,2023-04-20,,16%,Media,United States,https://variety.com/2024/digital/news/buzzfeed-sells-complex-ntwrk-layoffs-1235918498/,EDGAR_exact,MEDIUM,22658513.582209826,USD,True
Rivian,RIVN,,RIVN,"Rivian Automotive, Inc.",NMS,,2024-02-21,,,10%,Transportation,United States,https://techcrunch.com/2024/02/21/rivian-lays-off-10-of-workforce-as-ev-pricing-pressure-mounts/,yfinance_only,MEDIUM,18540386926.91996,USD,True
Aptiv,APTV,,APTV,Aptiv PLC,NYQ,,2024-02-20,,250.0,,Transportation,Poland,"https://wyborcza.biz/biznes/7,159911,30719165,w-pol-godziny-zwolnili-250-osob-dostal-godzine-na-spakowanie.html?disableRedirects=true",yfinance_only,MEDIUM,15593660393.881851,USD,True
Toast,TOST,TOST,TOST,"Toast, Inc.",NYQ,1650164.0,2024-02-15,2024-02-15,550.0,10%,Food,United States,https://www.bloomberg.com/news/articles/2024-02-15/toast-layoffs-to-impact-hundreds-at-restaurant-tech-company?embedded-checkout=true,EDGAR_exact,HIGH,15355229820.251465,USD,True
Sonder,SONDQ,,SONDQ,Sonder Holdings Inc.,PNK,1819395.0,2024-02-15,2024-02-20,106.0,17%,Travel,United States,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1819395/000181939524000007/son-20240215.htm,EDGAR_exact,MEDIUM,2661.6961327598983,USD,True
Storytel,STORY-B.ST,,STORY-B.ST,Storytel AB ser. B,STO,,2024-02-15,,80.0,13%,Consumer,Sweden,https://investors.storytel.com/en/wp-content/uploads/sites/2/2024/02/presentation-q4-report-2023.pdf,yfinance_only,MEDIUM,6737322946.561432,SEK,True
Cisco,CSCO,,CSCO,"Cisco Systems, Inc.",NMS,,2024-02-14,,4250.0,5%,Infrastructure,United States,https://www.cnbc.com/2024/02/14/cisco-cutting-5percent-of-global-workforce-in-restructuring-move.html,yfinance_only,MEDIUM,307908800500.36835,USD,True
Instacart,,,,,,,2024-02-13,,250.0,7%,Food,United States,https://www.cnbc.com/2024/02/13/instacart-layoffs-company-to-cut-250-employees-or-about-7percent.html,yfinance_only,NONE,,,
Impinj,PI,PI,PI,"Impinj, Inc.",NMS,1114995.0,2024-02-13,2024-02-08,50.0,10%,Other,United States,https://www.bizjournals.com/seattle/news/2024/02/12/impinj-layoffs-seattle-internet-of-things.html,EDGAR_exact,HIGH,3081818144.647827,USD,True
Riskified,RSKD,,RSKD,Riskified Ltd.,NYQ,,2024-02-13,,40.0,6%,Retail,United States,https://en.globes.co.il/en/article-israeli-fintech-co-riskified-lays-off-6-of-workforce-1001471055,yfinance_only,MEDIUM,649660134.738224,USD,True
SiriusXM,SIRI,,SIRI,SiriusXM Holdings Inc.,NMS,,2024-02-12,,160.0,3%,Media,United States,https://variety.com/2024/digital/news/siriusxm-layoffs-160-employees-1235908020/,yfinance_only,MEDIUM,7878907847.40477,USD,True
Pure Storage,PSTG,,PSTG,"Everpure, Inc.",NYQ,,2024-02-08,,275.0,,Data,United States,https://blocksandfiles.com/2024/02/08/pure-storage-lays-off-staff-again/,yfinance_only,MEDIUM,20181248894.251328,USD,True
Otovo,OTOVO.OL,,OTOVO.OL,OTOVO ASA,OSL,,2024-02-08,,65.0,15%,Energy,Norway,https://www.mynewsdesk.com/otovo/pressreleases/otovo-q4-2023-cost-cuts-and-efficiency-program-executed-ready-for-2024-3302572,yfinance_only,MEDIUM,802370900.0,NOK,True
Getaround,GETR,,GETR,"Getaround, Inc.",PNK,1839608.0,2024-02-08,2025-02-12,,30%,Transportation,United States,https://techcrunch.com/2024/02/08/car-sharing-company-getaround-cuts-one-third-of-u-s-workforce/,EDGAR_exact,MEDIUM,97197.68561664212,USD,True
Tenable,TENB,,TENB,"Tenable Holdings, Inc.",NMS,,2024-02-07,,,5%,Security,United States,https://bnnbreaking.com/finance-nav/tenable-reveals-strong-q4-2023-financial-performance-and-strategy-optimization,yfinance_only,MEDIUM,2034819644.247551,USD,True
DocuSign,DOCU,DOCU,DOCU,"DocuSign, Inc.",NMS,1261333.0,2024-02-06,2024-02-06,440.0,6%,Sales,United States,https://www.cnbc.com/2024/02/06/docusign-to-lay-off-6percent-of-workforce-or-about-440-jobs.html,EDGAR_exact,HIGH,9365592935.751831,USD,True
Amazon,AMZN,,AMZN,"Amazon.com, Inc.",NMS,,2024-02-06,,400.0,,Retail,United States,https://www.businessinsider.com/amazon-one-medical-pharmacy-layoffs-broader-cost-cutting-campaign-2024-2,yfinance_only,MEDIUM,2260452366220.8086,USD,True
Snap,SNAP,SNAP,SNAP,Snap Inc.,NYQ,1564408.0,2024-02-05,2022-08-31,500.0,10%,Consumer,United States,https://www.cnbc.com/2024/02/05/snap-to-lay-off-10percent-of-global-workforce-around-500-employees.html,EDGAR_exact,HIGH,8275864912.071013,USD,True
Cue Health,HLTHQ,,HLTHQ,Cue Health Inc.,PNK,,2024-02-02,,245.0,30%,Healthcare,United States,https://www.sandiegouniontribune.com/business/story/2024-02-02/cue-health-lays-off-more-than-30-percent-of-its-global-workforce,yfinance_only,MEDIUM,159.09181359833178,USD,True
Okta,OKTA,OKTA,OKTA,"Okta, Inc.",NMS,1660134.0,2024-02-01,2023-02-02,400.0,7%,Security,United States,https://www.cnbc.com/2024/02/01/okta-to-lay-off-7percent-of-staff-about-400-employees.html,EDGAR_exact,HIGH,14026885325.239914,USD,True
Zoom,ZM,,ZM,"Zoom Communications, Inc.",NMS,,2024-02-01,,150.0,2%,Other,United States,https://www.cnbc.com/2024/02/01/zoom-layoffs-company-cuts-150-employees-2percent-of-workforce.html,yfinance_only,MEDIUM,23895347375.37155,USD,True
Illumina,ILMN,ILMN,ILMN,"Illumina, Inc.",NMS,1110803.0,2024-02-01,2023-06-26,111.0,,Healthcare,United States,https://www.sandiegouniontribune.com/business/story/2024-02-01/illumina-lays-off-11,EDGAR_exact,HIGH,19361726580.047607,USD,True
Innoviz,INVZ,,INVZ,Innoviz Technologies Ltd.,NCM,,2024-01-31,,60.0,13%,Transportation,Israel,https://www.calcalistech.com/ctechnews/article/hjs6xbucp,yfinance_only,MEDIUM,143516268.65115392,USD,True
Zuora,ZUO,ZUO,,,,1423774.0,2024-01-31,2024-02-28,,8%,Finance,United States,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/0001423774/000142377424000052/zuo-20240127.htm,EDGAR_exact,MEDIUM,,,False
PayPal,PYPL,,PYPL,"PayPal Holdings, Inc.",NMS,,2024-01-30,,2500.0,9%,Finance,United States,https://www.bloomberg.com/news/articles/2024-01-30/paypal-to-cut-around-2-500-jobs-as-rivals-snag-market-share,yfinance_only,MEDIUM,41758147661.77411,USD,True
Block,XYZ,,XYZ,"Block, Inc.",NYQ,,2024-01-30,,1000.0,10%,Finance,United States,https://www.businessinsider.com/block-layoffs-jack-dorsey-tech-industry-cuts-2024-1,yfinance_only,MEDIUM,36180374656.33392,USD,True
Procore,PCOR,,PCOR,"Procore Technologies, Inc.",NYQ,,2024-01-30,,,4%,Construction,United States,Internal memo,yfinance_only,MEDIUM,8914641796.122818,USD,True
iRobot,IRBT,IRBT,,,,1159167.0,2024-01-29,2024-08-07,350.0,31%,Consumer,United States,https://www.cnbc.com/2024/01/29/amazon-terminates-irobot-deal-vacuum-maker-to-lay-off-31percent-of-staff.html,EDGAR_exact,MEDIUM,,,False
Salesforce,CRM,CRM,CRM,"Salesforce, Inc.",NYQ,1108524.0,2024-01-26,2024-02-28,700.0,1%,Sales,United States,https://www.wsj.com/economy/jobs/salesforce-laying-off-700-workers-in-latest-tech-industry-downsizing-6a082fa3,EDGAR_exact,HIGH,174506885147.09473,USD,True
Microsoft,MSFT,,MSFT,Microsoft Corporation,NMS,,2024-01-25,,1900.0,,Other,United States,https://www.theverge.com/2024/1/25/24049050/microsoft-activision-blizzard-layoffs,yfinance_only,MEDIUM,2745297298505.8135,USD,True
Jamf,,,,,,,2024-01-25,,,6%,Other,United States,https://www.streetinsider.com/dr/news.php?id=22671112,yfinance_only,NONE,,,
Storytel,STORY-B.ST,,STORY-B.ST,Storytel AB ser. B,STO,,2024-01-24,,80.0,13%,Media,Sweden,https://investors.storytel.com/en/storytel-sharpens-focus-on-profitability-on-the-back-of-strong-q4-2023-earnings-and-upgrades-mid-term-financial-targets-announces-efficiency-initiative-and-write-downs/,yfinance_only,MEDIUM,6737322946.561432,SEK,True
Aurora,ACB,,ACB,Aurora Cannabis Inc.,NCM,,2024-01-24,,,3%,Transportation,United States,https://techcrunch.com/2024/01/24/self-driving-vehicle-company-aurora-cuts-3-of-its-workforce/,yfinance_only,MEDIUM,189976564.99176788,USD,True
Desktop Metal,DM,DM,,,,1754820.0,2024-01-24,2023-02-02,,20%,Other,United States,https://ir.desktopmetal.com/news/press-releases/detail/175/desktop-metal-intensifies-cost-reduction-plan-and-ongoing,EDGAR_exact,MEDIUM,,,False
